No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;time2;time 1;delay1;delay2;jiter
2;2.197.752;52.139.250.253;192.168.100.35;TCP;66;443  >  49724 [ACK] Seq=1 Ack=1 Win=7620 Len=0 TSval=2938586331 TSecr=63851749;;;;;;;;;;;;2.197.798;2.197.752;46;750.191;750.145
3;2.197.798;192.168.100.35;52.139.250.253;TCP;54;[TCP ACKed unseen segment] 49724  >  443 [ACK] Seq=1 Ack=2 Win=511 Len=0;;;;;;;;;;;;2.947.989;2.197.798;750.191;2.834;747.357
4;2.947.989;192.168.100.35;172.217.194.94;TCP;55;56145  >  80 [ACK] Seq=1 Ack=1 Win=64952 Len=1;;;;;;;;;;;;2.950.823;2.947.989;2.834;681.759;678.925
5;2.950.823;172.217.194.94;192.168.100.35;TCP;60;80  >  56145 [ACK] Seq=1 Ack=2 Win=4633 Len=0;;;;;;;;;;;;3.632.582;2.950.823;681.759;114;681.645
7;3.632.582;192.168.100.35;20.44.232.74;TLSv1.2;1603;Application Data;;;;;;;;;;;;3.632.696;3.632.582;114;34.642;34.528
8;3.632.696;192.168.100.35;20.44.232.74;TLSv1.2;4095;Application Data;;;;;;;;;;;;3.667.338;3.632.696;34.642;4.824;29.818
10;3.667.338;20.44.232.74;192.168.100.35;TCP;54;443  >  56135 [ACK] Seq=1 Ack=1550 Win=2051 Len=0;;;;;;;;;;;;3.672.162;3.667.338;4.824;50.302;45.478
11;3.672.162;20.44.232.74;192.168.100.35;TCP;60;443  >  56135 [ACK] Seq=1 Ack=4374 Win=2051 Len=0;;;;;;;;;;;;3.722.464;3.672.162;50.302;44;50.258
12;3.722.464;74.125.130.95;192.168.100.35;TCP;54;443  >  56144 [ACK] Seq=1 Ack=1 Win=269 Len=0;;;;;;;;;;;;3.722.508;3.722.464;44;7.140;7.096
13;3.722.508;192.168.100.35;74.125.130.95;TCP;54;[TCP ACKed unseen segment] 56144  >  443 [ACK] Seq=1 Ack=2 Win=508 Len=0;;;;;;;;;;;;3.729.648;3.722.508;7.140;7.486;346
